"Formula","S1","S2","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S17","S18","S19"
"C59H114","18717780","18660322","4391128","4200007","1681037","1470893","14293412","19133322","24258464","24623774","6203061","10116193","45273888","33639620","5771799","26122500"
"C60H116","30837368","18150098","5513527","3425659","1616732","6380281","14483852","21492056","29083118","36552452","5442624","11996103","56326092","29176796","5734266","33080586"
"C61H118","35231736","30809358","4318375","3298821","1403631","5235631","11045232","30041828","24933390","44082840","5736116","18134188","66236344","26843522","4995335","28000158"
"C62H120","43299116","35732032","3678286","3288329","1302604","10570117","10854636","25260462","20881436","52748236","3817601","23783814","57432528","29888216","3755241","30062464"
"C63H122","42785988","46289632","3541691","3339413","1477754","10516507","10559448","22885206","20985920","47782164","3259282","29900770","51479808","23409922","3668183","26168662"
"C64H124","38185316","40607192","2502100","3230394","1300346","12624182","8625895","40718468","19610812","42156416","3356118","25031258","32489526","23117090","3685001","23966236"
"C65H126","26944956","37247496","3564420","2622847","8593081","21064368","7487227","50628924","22609890","28608840","2987370","25343890","41163500","21591876","3264532","32184012"
"C66H128","32424230","24442460","2654735","2537466","6981046","23662306","7733493","56353840","18162724","36520128","2760015","43424304","36455652","17854948","3420465","22723666"
"C67H130","29051754","30704186","2103366","2057257","13908706","20159924","7003561","52928524","17566696","32274488","3119300","54824120","33037810","18418528","2959891","24290006"
"C68H132","26932304","28806490","2684677","1275897","15236007","31689176","5365950","44002264","17131434","31162316","2172681","64729224","34346468","16810524","2597612","21322208"
"C69H134","24841134","26675068","1831791","1684824","18997604","36848332","5835958","29693750","14669096","28125050","1877941","56628848","29486314","14501311","2143758","18514164"
"C70H136","21488086","27332702","1655712","1603627","31526792","43787276","4753417","36549076","13468134","26169154","2524321","52608824","37454752","12015785","2066096","16959382"
"C71H138","26638256","23119890","1552268","1233453","37532548","37329108","5099819","32267104","14822253","29050652","1706141","34343824","29780636","12201359","1679464","18029968"
"C72H140","19263008","27569906","1307949","1382411","34770516","40497516","4855538","31032226","13668600","22134520","1395322","43293288","26788474","12879651","1519306","13501358"
"C73H142","21181964","21775712","1960679","1495564","47821484","27647008","4203970","29837940","11855180","23889602","1466192","38480244","28982128","10585842","1574447","11813614"
"C74H144","20987796","23104444","1459517","1220078","55661584","35493684","4363882","28524462","11082654","22552164","1634872","35976804","25597220","8975110","4709471","12287058"
"C75H146","17447356","23736894","1109334","3486180","65639928","26894570","3719611","33670012","12486437","20370874","1075099","35725056","23109426","8028350","11885081","11821257"
"C18H30","18269040","21219556","1107855","5641143","55241644","31885364","2907269","25610108","10410413","19405960","1490090","32531314","26024244","6788472","15821042","10715093"
"C19H32","19004318","23388066","1476931","6195699","63456560","26402270","2359648","24755644","8038586","19219086","1521598","38725200","24847140","6061782","18573388","8855442"
"C20H34","16486949","24876660","1238563","8806232","40304772","24249094","1997484","24111156","6856961","16635822","3972093","29993548","21585352","7588774","14794086","8132111"
"C21H36","13916359","19201448","1726152","19717282","58112912","30783694","1621698","20109078","6999861","13303082","10315267","30691854","21899766","6611724","24006864","7799132"
"C22H38","13463943","17761862","3941581","15521317","45212740","22650952","1630203","22054812","6826113","14058798","12652748","30473762","22726792","5727275","21211392","7294997"
"C23H40","14536295","18387304","9363537","27506546","52316536","24820082","2230423","22365886","6198315","12042733","14368839","26602498","18696696","4739724","26191870","5708611"
"C24H42","11364457","18898988","11198484","27419922","47230116","25252728","1948746","18465210","5773843","10816697","14401857","25413868","16461198","4082790","37867984","6581396"
"C25H44","10743168","15336200","15001529","36363428","41160620","21990784","1877145","15640875","5057050","9137008","17780152","29360670","14209625","3318033","36853328","5299637"
"C26H46","9364233","15112315","16672615","37963996","53195896","19543724","1152009","17698780","3879004","8401680","17616810","25355982","13580137","2245095","41913932","4805711"
"C27H48","8824418","12533415","20526126","37923952","40795352","22593166","1373470","16804006","3699372","7415965","21583904","21903928","12065688","3086332","43309132","3953955"
"C28H50","7607612","11191212","19176246","38810104","42494080","19412508","1204257","13268415","2737551","7322049","31255088","22376478","12303561","2938240","35328732","3460074"
"C29H52","7636674","8832443","21271576","38300212","46183824","17735332","1076763","11933397","3020172","6376742","28421324","21978174","11630746","2460387","25218186","2935883"
